from	to	type
0041124c	Stack[-0x1c]	WRITE
00411251	00470748	READ
00411251	0047074a	READ
00411257	00411269	CONDITIONAL_JUMP
00411259	00470749	READ
00411259	0047074b	READ
00411267	00411251	CONDITIONAL_JUMP
0041126a	00470748	DATA
00411274	00470748	READ
00411274	00470749	READ
00411279	Stack[-0x1c]	READ
0041127e	006366b4	READ
00411286	00470750	DATA
0041128d	Stack[-0x1c]	WRITE
00411292	00470750	READ
00411292	00470752	READ
00411298	004112aa	CONDITIONAL_JUMP
0041129a	00470751	READ
0041129a	00470753	READ
004112a8	00411292	CONDITIONAL_JUMP
004112ab	00470750	DATA
004112b5	00470750	READ
004112b5	00470751	READ
004112ba	Stack[-0x1c]	READ
004112c1	Stack[-0x1c]	WRITE
004112c5	006366b4	READ
004112cd	00470758	DATA
004112d3	00470758	READ
004112d3	0047075a	READ
004112d9	004112eb	CONDITIONAL_JUMP
